ID,Age (in years),Experience (in years),Income (in K/year),Income Categorical,ZIP Code,Family members,Education,Employment,Mortgage,Personal Loan,Securities Account,TD Account,Online,CreditCard,Net Worth (in K$),Investment Portfolio (in K$),Risk Tolerance,Financial Goals,Wealth Management Service Level
1048,55,31,73,Medium,94143,4,Graduate,Working Professional,0,No,No,No,No,No,545,0,Moderate,Education Funding,Premium
1049,62,37,90,Medium,95747,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,669,0,Conservative,Estate Planning,Premium
1050,35,10,23,Low,94501,4,Professional,Self-Employed,0,No,No,No,Yes,No,530,0,Conservative,Retirement,Premium
1051,53,27,145,High,90095,2,Professional,Self-Employed,294,Yes,No,Yes,Yes,Yes,1335,180,Moderate,Estate Planning,Private
1052,33,7,54,Medium,92886,4,Undergraduate,Working Professional,141,No,Yes,No,No,No,906,422,Aggressive,Education Funding,Premium
1053,43,17,49,Low,95812,3,Graduate,Working Professional,103,No,No,No,Yes,Yes,725,0,Moderate,Estate Planning,Premium
1054,58,32,51,Medium,95819,1,Graduate,Working Professional,0,No,No,No,Yes,No,506,0,Moderate,Estate Planning,Premium
1055,63,38,8,Low,95136,4,Graduate,Working Professional,0,No,No,No,Yes,No,348,0,Conservative,Tax Optimization,Basic
1056,31,6,62,Medium,95630,1,Undergraduate,Working Professional,0,No,Yes,No,Yes,No,793,140,Aggressive,Tax Optimization,Premium
1057,36,6,25,Low,95020,1,Professional,Self-Employed,0,No,No,No,Yes,No,563,0,Conservative,Tax Optimization,Premium
1058,30,0,63,Medium,95503,2,Professional,Self-Employed,0,No,No,No,Yes,No,614,0,Conservative,Wealth Growth,Premium
1059,59,34,24,Low,94105,2,Professional,Self-Employed,86,No,No,No,Yes,No,293,0,Moderate,Education Funding,Basic
1060,28,2,11,Low,91203,1,Graduate,Working Professional,0,No,No,No,Yes,Yes,284,0,Conservative,Wealth Growth,Basic
1061,59,34,23,Low,93111,1,Undergraduate,Working Professional,0,No,No,No,No,Yes,511,0,Moderate,Tax Optimization,Premium
1062,47,22,33,Low,91105,1,Professional,Self-Employed,0,No,No,No,Yes,No,338,0,Moderate,Wealth Growth,Basic
1063,47,21,83,Medium,92220,1,Undergraduate,Working Professional,97,Yes,No,No,No,No,891,0,Moderate,Wealth Growth,Premium
1064,56,30,39,Low,90024,3,Undergraduate,Working Professional,131,No,No,No,No,Yes,513,0,Moderate,Wealth Growth,Premium
1065,41,17,138,High,95008,3,Graduate,Working Professional,0,Yes,No,No,Yes,No,909,0,Moderate,Tax Optimization,Premium
1066,25,1,113,High,90401,3,Undergraduate,Working Professional,0,No,No,No,No,Yes,662,0,Conservative,Tax Optimization,Premium
1067,30,5,125,High,90016,4,Professional,Self-Employed,0,Yes,No,Yes,Yes,No,892,376,Aggressive,Retirement,Premium
1068,50,24,195,High,95035,1,Undergraduate,Working Professional,0,No,No,No,No,No,1116,0,Moderate,Retirement,Private
1069,34,9,105,High,90035,3,Professional,Self-Employed,0,No,Yes,No,No,No,990,168,Aggressive,Retirement,Premium
1070,44,18,75,Medium,91203,2,Undergraduate,Working Professional,0,Yes,No,No,Yes,No,452,0,Moderate,Retirement,Basic
1071,36,9,40,Low,90840,2,Graduate,Working Professional,0,No,No,No,Yes,No,627,0,Conservative,Estate Planning,Premium
1072,39,14,61,Medium,94005,3,Professional,Self-Employed,137,No,No,No,Yes,No,774,0,Conservative,Education Funding,Premium
1073,54,24,75,Medium,90089,2,Professional,Self-Employed,0,No,No,No,No,No,566,0,Moderate,Retirement,Premium
1074,33,8,122,High,94583,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,1062,0,Conservative,Wealth Growth,Private
1075,39,14,75,Medium,95762,3,Undergraduate,Working Professional,0,No,No,No,No,Yes,453,0,Conservative,Retirement,Basic
1076,41,15,59,Medium,90024,4,Professional,Self-Employed,0,No,No,No,No,No,402,0,Moderate,Retirement,Basic
1077,40,13,24,Low,94608,3,Graduate,Working Professional,0,No,No,No,Yes,No,497,0,Moderate,Tax Optimization,Basic
1078,29,3,175,High,90095,3,Professional,Self-Employed,329,Yes,No,No,Yes,No,1474,0,Conservative,Education Funding,Private
1079,51,27,39,Low,92709,2,Undergraduate,Working Professional,182,No,No,No,No,Yes,832,0,Moderate,Estate Planning,Premium
1080,54,30,145,High,94591,2,Undergraduate,Working Professional,0,No,Yes,No,No,No,1059,204,Aggressive,d,Private
1081,47,22,24,Low,90717,4,Graduate,Working Professional,142,No,No,No,Yes,No,334,0,Moderate,Tax Optimization,Basic
1082,53,28,20,Low,94080,3,Graduate,Working Professional,0,No,No,No,No,No,349,0,Moderate,Education Funding,Basic
1083,30,5,85,Medium,94115,1,Graduate,Working Professional,0,No,No,No,Yes,No,748,0,Conservative,Wealth Growth,Premium
1084,28,3,65,Medium,95014,3,Professional,Self-Employed,0,No,Yes,No,No,No,712,411,Aggressive,Education Funding,Premium
1085,60,35,191,High,93407,4,Professional,Self-Employed,0,Yes,No,No,No,No,1397,0,Moderate,Estate Planning,Private
1086,51,26,11,Low,92612,2,Undergraduate,Working Professional,0,No,Yes,No,No,No,500,270,Moderate,Tax Optimization,Basic
1087,63,37,40,Low,94024,2,Professional,Self-Employed,167,No,No,No,No,No,440,0,Conservative,Wealth Growth,Basic
1088,38,13,54,Medium,92028,3,Graduate,Working Professional,196,No,No,No,No,No,645,0,Conservative,Education Funding,Premium
1089,59,35,95,Medium,95521,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,954,0,Moderate,Wealth Growth,Premium
1090,53,29,94,Medium,92103,4,Graduate,Working Professional,0,No,No,No,Yes,No,661,0,Moderate,Estate Planning,Premium
1091,31,5,79,Medium,94720,4,Graduate,Working Professional,0,No,No,No,No,No,496,0,Conservative,Tax Optimization,Basic
1092,41,17,48,Low,94720,3,Professional,Self-Employed,0,No,No,No,Yes,Yes,403,0,Moderate,Wealth Growth,Basic
1093,25,1,70,Medium,92120,4,Undergraduate,Working Professional,0,No,Yes,No,Yes,No,763,328,Aggressive,Retirement,Premium
1094,27,3,40,Low,94550,3,Graduate,Working Professional,111,No,No,No,Yes,No,382,0,Conservative,Wealth Growth,Basic
1095,50,24,44,Low,94086,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,666,0,Moderate,Tax Optimization,Premium
1096,50,25,43,Low,92129,1,Professional,Self-Employed,137,No,No,No,Yes,No,437,0,Moderate,Wealth Growth,Basic
1097,43,18,29,Low,90245,1,Professional,Self-Employed,0,No,No,No,Yes,No,391,0,Moderate,Education Funding,Basic
1098,50,24,188,High,92007,3,Undergraduate,Working Professional,184,Yes,No,No,No,Yes,1320,0,Moderate,Tax Optimization,Private
1099,46,20,114,High,90720,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,1034,0,Moderate,Wealth Growth,Private
1100,30,6,52,Medium,92717,3,Graduate,Working Professional,0,No,No,No,Yes,No,493,0,Conservative,Tax Optimization,Basic
1101,42,16,13,Low,91711,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,449,0,Moderate,Wealth Growth,Basic
1102,42,17,95,Medium,90095,3,Professional,Self-Employed,0,No,No,No,No,No,609,0,Moderate,Estate Planning,Premium
1103,29,3,84,Medium,95023,1,Professional,Self-Employed,0,No,No,No,Yes,No,688,0,Conservative,Wealth Growth,Premium
1104,38,14,49,Low,90037,1,Undergraduate,Working Professional,0,No,No,No,No,No,526,0,Conservative,Retirement,Premium
1105,51,25,181,High,93106,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,1074,0,Moderate,Education Funding,Private
1106,35,10,182,High,95051,1,Graduate,Working Professional,229,Yes,No,Yes,Yes,Yes,1403,362,Aggressive,Education Funding,Private
1107,37,13,70,Medium,92101,2,Undergraduate,Working Professional,0,No,No,No,No,No,573,0,Conservative,Retirement,Premium
1108,47,21,79,Medium,94110,3,Undergraduate,Working Professional,185,No,No,No,Yes,Yes,638,0,Moderate,Estate Planning,Premium
1109,55,29,61,Medium,95051,4,Graduate,Working Professional,0,No,No,No,Yes,Yes,443,0,Moderate,Retirement,Basic
1110,65,41,121,High,92126,2,Undergraduate,Retired,0,No,No,No,Yes,No,843,0,Conservative,Education Funding,Premium
1111,58,33,34,Low,92028,3,Undergraduate,Working Professional,83,No,No,No,Yes,No,455,0,Moderate,Estate Planning,Basic
1112,54,28,183,High,90071,1,Undergraduate,Working Professional,442,No,No,No,No,No,1413,0,Moderate,Education Funding,Private
1113,52,28,51,Medium,94949,1,Professional,Self-Employed,0,No,Yes,No,No,Yes,679,97,Moderate,Retirement,Premium
1114,28,2,70,Medium,90630,3,Professional,Self-Employed,0,No,No,No,No,Yes,579,0,Conservative,Tax Optimization,Premium
1115,32,8,39,Low,95827,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,315,0,Conservative,Retirement,Basic
1116,51,24,84,Medium,94117,3,Graduate,Working Professional,0,No,No,No,No,No,525,0,Moderate,Wealth Growth,Premium
1117,43,18,122,High,92056,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,901,0,Moderate,Education Funding,Premium
1118,42,18,145,High,94709,1,Undergraduate,Working Professional,132,No,No,No,Yes,Yes,1124,0,Moderate,Retirement,Private
1119,42,17,98,Medium,95670,2,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,785,0,Moderate,Wealth Growth,Premium
1120,41,16,79,Medium,96064,1,Professional,Self-Employed,233,No,No,No,Yes,No,1105,0,Moderate,Education Funding,Private
1121,34,8,38,Low,94304,2,Professional,Self-Employed,0,No,No,No,Yes,Yes,432,0,Conservative,Wealth Growth,Basic
1122,30,6,49,Low,91330,3,Graduate,Working Professional,196,No,No,No,No,Yes,871,0,Conservative,Education Funding,Premium
1123,32,7,38,Low,90041,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,420,0,Conservative,Tax Optimization,Basic
1124,46,20,91,Medium,92521,4,Professional,Self-Employed,0,No,No,No,No,No,545,0,Moderate,Estate Planning,Premium
1125,38,12,29,Low,94022,4,Undergraduate,Working Professional,0,No,No,No,No,Yes,437,0,Conservative,Estate Planning,Basic
1126,37,13,172,High,95003,2,Undergraduate,Working Professional,0,No,No,No,No,No,1253,0,Conservative,Estate Planning,Private
1127,32,8,104,High,95192,2,Undergraduate,Working Professional,0,Yes,No,No,No,Yes,686,0,Conservative,Education Funding,Premium
1128,35,9,58,Medium,91101,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,399,0,Conservative,Education Funding,Basic
1129,30,5,171,High,94025,2,Graduate,Working Professional,0,Yes,No,No,No,No,1040,0,Conservative,Retirement,Private
1130,30,4,73,Medium,94305,3,Undergraduate,Working Professional,0,Yes,No,Yes,Yes,Yes,666,187,Aggressive,Retirement,Premium
1131,58,32,191,High,94402,1,Undergraduate,Working Professional,0,No,No,No,No,No,1178,0,Moderate,Wealth Growth,Private
1132,57,27,90,Medium,91709,2,Professional,Self-Employed,0,No,No,No,Yes,No,849,0,Moderate,Education Funding,Premium
1133,34,9,55,Medium,94920,3,Undergraduate,Working Professional,0,No,Yes,Yes,Yes,Yes,479,383,Aggressive,Tax Optimization,Basic
1134,31,4,28,Low,94126,1,Graduate,Working Professional,0,No,No,No,No,No,614,0,Conservative,Tax Optimization,Premium
1135,39,14,42,Low,95616,1,Professional,Self-Employed,0,No,No,No,Yes,No,393,0,Conservative,Education Funding,Basic
1136,57,33,9,Low,93106,1,Graduate,Working Professional,91,No,Yes,No,Yes,No,325,425,Moderate,Wealth Growth,Basic
1137,47,21,65,Medium,94086,1,Graduate,Working Professional,0,No,Yes,No,Yes,No,689,100,Moderate,Retirement,Premium
1138,51,26,134,High,90230,4,Professional,Self-Employed,0,Yes,Yes,Yes,Yes,No,904,495,Moderate,Tax Optimization,Premium
1139,30,6,83,Medium,93101,4,Undergraduate,Working Professional,0,No,Yes,No,Yes,No,673,305,Aggressive,Estate Planning,Premium
1140,55,28,38,Low,95616,3,Graduate,Working Professional,0,No,No,No,Yes,No,350,0,Moderate,Estate Planning,Basic
1141,32,6,13,Low,94611,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,207,0,Conservative,Wealth Growth,Basic
1142,32,7,143,High,91365,3,Professional,Self-Employed,0,Yes,No,No,Yes,No,993,0,Conservative,Estate Planning,Premium
1143,44,20,75,Medium,91335,4,Undergraduate,Working Professional,0,No,No,No,No,No,695,0,Moderate,Tax Optimization,Premium
1144,33,7,120,High,94022,1,Professional,Self-Employed,0,Yes,No,No,Yes,No,707,0,Conservative,Tax Optimization,Premium
1145,49,24,91,Medium,95822,1,Graduate,Working Professional,0,No,No,No,No,No,664,0,Moderate,Wealth Growth,Premium
1146,32,6,99,Medium,92101,2,Professional,Self-Employed,0,No,No,No,No,Yes,668,0,Conservative,Education Funding,Premium
1147,31,7,71,Medium,90034,1,Undergraduate,Working Professional,78,No,Yes,No,No,No,871,472,Aggressive,Tax Optimization,Premium
1148,37,13,111,High,91367,1,Graduate,Working Professional,0,No,No,No,No,No,733,0,Conservative,Wealth Growth,Premium
1149,41,15,108,High,90034,1,Undergraduate,Working Professional,0,No,No,No,No,No,614,0,Moderate,Estate Planning,Premium
1150,56,32,158,High,91763,1,Undergraduate,Working Professional,0,No,No,No,No,No,1128,0,Moderate,Retirement,Private
1151,55,31,81,Medium,95521,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,709,0,Moderate,Education Funding,Premium
1152,49,23,12,Low,94720,2,Professional,Self-Employed,0,No,Yes,Yes,Yes,No,335,611,Moderate,Retirement,Basic
1153,63,37,21,Low,95831,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,253,0,Conservative,Estate Planning,Basic
1154,55,30,55,Medium,92821,4,Undergraduate,Working Professional,215,No,No,No,Yes,Yes,796,0,Moderate,Wealth Growth,Premium
1155,59,35,42,Low,93555,1,Professional,Self-Employed,0,No,No,No,Yes,No,707,0,Moderate,Wealth Growth,Premium
1156,41,16,81,Medium,92653,2,Undergraduate,Working Professional,0,No,No,No,No,Yes,489,0,Moderate,Retirement,Basic
1157,49,25,13,Low,94305,4,Undergraduate,Working Professional,87,No,No,No,No,No,283,0,Moderate,Education Funding,Basic
1158,48,23,132,High,94998,1,Undergraduate,Working Professional,157,No,No,No,No,No,909,0,Moderate,Education Funding,Premium
1159,41,16,99,Medium,92660,1,Professional,Self-Employed,0,No,No,No,Yes,No,715,0,Moderate,Tax Optimization,Premium
1160,50,26,23,Low,92028,4,Undergraduate,Working Professional,0,No,No,No,No,Yes,313,0,Moderate,Tax Optimization,Basic
1161,28,1,40,Low,95134,1,Graduate,Working Professional,0,No,Yes,No,Yes,No,499,194,Aggressive,Retirement,Basic
1162,36,11,181,High,94309,3,Undergraduate,Working Professional,0,Yes,No,No,No,No,1323,0,Conservative,Retirement,Private
1163,38,14,112,High,94501,2,Undergraduate,Working Professional,394,No,No,No,No,No,1283,0,Conservative,Tax Optimization,Private
1164,34,9,138,High,94720,2,Undergraduate,Working Professional,227,No,No,No,Yes,No,1232,0,Conservative,Tax Optimization,Private
1165,41,17,94,Medium,90071,3,Graduate,Working Professional,327,Yes,Yes,Yes,Yes,No,1268,767,Moderate,Tax Optimization,Private
1166,43,19,113,High,91203,1,Undergraduate,Working Professional,0,No,No,No,No,No,774,0,Moderate,Tax Optimization,Premium
1167,30,5,112,High,91711,4,Graduate,Working Professional,0,Yes,No,No,No,Yes,852,0,Conservative,Retirement,Premium
1168,37,12,190,High,92354,2,Undergraduate,Working Professional,475,No,No,No,Yes,No,1790,0,Conservative,Wealth Growth,Private
1169,62,37,38,Low,91706,1,Professional,Self-Employed,0,No,No,No,Yes,No,419,0,Conservative,Wealth Growth,Basic
1170,40,16,32,Low,92110,1,Professional,Self-Employed,158,No,No,No,Yes,No,384,0,Moderate,Retirement,Basic
1171,35,10,104,High,91320,3,Graduate,Working Professional,0,No,No,No,No,Yes,686,0,Conservative,Estate Planning,Premium
1172,64,40,43,Low,95014,1,Graduate,Working Professional,0,No,No,No,Yes,No,370,0,Conservative,Tax Optimization,Basic
1173,49,24,45,Low,92104,3,Graduate,Working Professional,0,No,Yes,No,Yes,No,495,77,Moderate,Retirement,Basic
1174,24,1,35,Low,94305,2,Graduate,Working Professional,0,No,No,No,No,No,385,0,Conservative,Education Funding,Basic
1175,36,10,42,Low,93106,4,Graduate,Working Professional,0,No,No,No,Yes,Yes,650,0,Conservative,Wealth Growth,Premium
1176,29,4,58,Medium,91006,1,Graduate,Working Professional,0,No,No,No,Yes,Yes,556,0,Conservative,Education Funding,Premium
1177,29,3,103,High,90049,4,Undergraduate,Working Professional,0,Yes,No,No,Yes,No,622,0,Conservative,Estate Planning,Premium
1178,28,3,71,Medium,90405,1,Graduate,Working Professional,149,Yes,Yes,Yes,Yes,No,938,623,Aggressive,Tax Optimization,Premium
1179,33,7,14,Low,94025,1,Graduate,Working Professional,98,No,No,No,Yes,No,532,0,Conservative,Tax Optimization,Premium
1180,36,11,98,Medium,90291,3,Professional,Self-Employed,0,No,Yes,No,No,Yes,607,171,Aggressive,Estate Planning,Premium
1181,42,17,90,Medium,90504,1,Graduate,Working Professional,0,No,No,No,No,Yes,757,0,Moderate,Estate Planning,Premium
1182,25,0,65,Medium,90095,4,Undergraduate,Working Professional,0,No,Yes,No,No,No,446,154,Aggressive,Wealth Growth,Basic
1183,28,2,19,Low,94720,4,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,557,0,Conservative,Retirement,Premium
1184,50,25,35,Low,94105,3,Graduate,Working Professional,0,No,No,No,Yes,Yes,284,0,Moderate,Retirement,Basic
1185,34,9,71,Medium,90041,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,480,0,Conservative,Retirement,Basic
1186,43,19,31,Low,94025,3,Undergraduate,Working Professional,0,No,No,No,No,No,576,0,Moderate,Retirement,Premium
1187,62,38,43,Low,94928,4,Graduate,Working Professional,0,No,No,No,Yes,No,406,0,Conservative,Estate Planning,Basic
1188,61,36,24,Low,94309,1,Graduate,Working Professional,87,No,Yes,No,No,No,510,79,Conservative,Retirement,Premium
1189,45,19,58,Medium,94305,2,Professional,Self-Employed,0,No,Yes,No,No,Yes,736,294,Moderate,Estate Planning,Premium
1190,42,17,115,High,92717,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,787,0,Moderate,Retirement,Premium
1191,39,15,168,High,93117,2,Undergraduate,Working Professional,152,No,Yes,No,No,No,1272,283,Aggressive,Tax Optimization,Private
1192,29,5,128,High,94111,1,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,974,0,Conservative,Wealth Growth,Premium
1193,45,20,138,High,92870,1,Undergraduate,Working Professional,0,No,No,No,No,Yes,1048,0,Moderate,Estate Planning,Private
1194,58,32,81,Medium,92121,3,Graduate,Working Professional,0,No,No,No,Yes,Yes,714,0,Moderate,Tax Optimization,Premium
1195,29,3,41,Low,94305,4,Professional,Self-Employed,0,No,No,No,Yes,No,695,0,Conservative,Estate Planning,Premium
1196,32,7,123,High,92407,2,Graduate,Working Professional,0,Yes,No,No,Yes,No,667,0,Conservative,Education Funding,Premium
1197,37,13,71,Medium,94609,2,Undergraduate,Working Professional,94,No,No,No,Yes,No,690,0,Conservative,Wealth Growth,Premium
1198,48,23,8,Low,92866,1,Professional,Self-Employed,0,No,No,No,No,Yes,134,0,Moderate,Education Funding,Basic
1199,40,14,42,Low,94801,2,Undergraduate,Working Professional,101,No,No,No,Yes,No,379,0,Moderate,Retirement,Basic
1200,29,4,62,Medium,92064,2,Undergraduate,Working Professional,184,No,No,No,Yes,No,558,0,Conservative,Wealth Growth,Premium
1201,36,12,22,Low,92507,4,Undergraduate,Working Professional,91,No,Yes,No,Yes,No,399,150,Aggressive,Wealth Growth,Basic
1202,35,8,38,Low,95060,4,Graduate,Working Professional,0,No,No,No,Yes,No,413,0,Conservative,Retirement,Basic
1203,35,11,24,Low,95521,4,Graduate,Working Professional,0,No,No,No,No,No,592,0,Conservative,Wealth Growth,Premium
1204,62,37,50,Low,91311,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,606,0,Conservative,Wealth Growth,Premium
1205,26,1,190,High,91604,4,Graduate,Working Professional,197,Yes,No,No,Yes,No,1224,0,Conservative,Retirement,Private
1206,32,7,94,Medium,91361,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,562,0,Conservative,Wealth Growth,Premium
1207,63,37,165,High,95035,4,Professional,Self-Employed,0,Yes,No,No,No,No,1312,0,Conservative,Wealth Growth,Private
1208,38,12,43,Low,94301,4,Graduate,Working Professional,0,No,No,No,No,Yes,642,0,Conservative,Tax Optimization,Premium
1209,50,26,48,Low,91711,1,Graduate,Working Professional,0,No,No,No,No,Yes,383,0,Moderate,Wealth Growth,Basic
1210,46,21,52,Medium,91304,3,Graduate,Working Professional,228,No,No,No,No,Yes,753,0,Moderate,Education Funding,Premium
1211,50,24,84,Medium,93943,4,Undergraduate,Working Professional,0,No,No,No,Yes,No,565,0,Moderate,Wealth Growth,Premium
1212,61,36,131,High,92407,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,1036,0,Conservative,Estate Planning,Private
1213,34,8,44,Low,91101,4,Undergraduate,Working Professional,0,No,No,No,No,No,343,0,Conservative,Education Funding,Basic
1214,27,2,78,Medium,93943,4,Undergraduate,Working Professional,87,No,No,No,No,No,829,0,Conservative,Tax Optimization,Premium
1215,61,36,15,Low,92521,4,Graduate,Working Professional,0,No,No,No,No,No,245,0,Conservative,Estate Planning,Basic
1216,45,20,38,Low,94550,4,Professional,Self-Employed,144,No,No,No,Yes,Yes,637,0,Moderate,Retirement,Premium
1217,50,25,84,Medium,91107,1,Professional,Self-Employed,0,No,Yes,No,Yes,No,683,269,Moderate,Wealth Growth,Premium
1218,44,20,122,High,94305,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,1048,0,Moderate,Tax Optimization,Private
1219,62,36,98,Medium,92122,2,Undergraduate,Working Professional,0,No,No,No,No,No,674,0,Conservative,Wealth Growth,Premium
1220,45,18,80,Medium,92407,3,Graduate,Working Professional,0,No,No,No,No,No,537,0,Moderate,Tax Optimization,Premium
1221,41,17,165,High,94143,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,1100,0,Moderate,Tax Optimization,Private
1222,30,5,121,High,94132,2,Undergraduate,Working Professional,0,No,No,No,No,Yes,1062,0,Conservative,Wealth Growth,Private
1223,61,37,20,Low,90011,3,Graduate,Working Professional,94,No,No,No,No,No,250,0,Conservative,Tax Optimization,Basic
1224,45,19,11,Low,96150,1,Undergraduate,Working Professional,91,No,No,No,No,No,516,0,Moderate,Tax Optimization,Premium
1225,59,35,45,Low,94920,1,Professional,Self-Employed,0,No,No,No,Yes,No,478,0,Moderate,Education Funding,Basic
1226,30,6,118,High,94534,2,Graduate,Working Professional,0,Yes,No,No,No,No,755,0,Conservative,Estate Planning,Premium
1227,60,36,14,Low,90089,2,Undergraduate,Working Professional,109,No,No,No,Yes,Yes,628,0,Moderate,Retirement,Premium
1228,39,13,30,Low,92122,3,Graduate,Working Professional,0,No,No,No,No,No,259,0,Conservative,Retirement,Basic
1229,56,30,45,Low,92870,1,Undergraduate,Working Professional,98,No,No,No,No,No,560,0,Moderate,Tax Optimization,Premium
1230,56,32,80,Medium,94596,3,Undergraduate,Working Professional,0,No,No,No,Yes,No,665,0,Moderate,Education Funding,Premium
1231,27,1,25,Low,94920,4,Graduate,Working Professional,0,No,No,No,Yes,Yes,357,0,Conservative,Education Funding,Basic
1232,66,41,144,High,94306,1,Undergraduate,Retired,0,No,Yes,Yes,Yes,Yes,885,559,Conservative,Estate Planning,Premium
1233,43,19,84,Medium,92646,4,Professional,Self-Employed,297,No,No,No,Yes,No,800,0,Moderate,Education Funding,Premium
1234,53,29,22,Low,93943,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,456,0,Moderate,Education Funding,Basic
1235,44,18,33,Low,90405,3,Undergraduate,Working Professional,0,No,No,No,Yes,Yes,519,0,Moderate,Estate Planning,Premium
1236,54,28,60,Medium,94110,4,Professional,Self-Employed,0,No,No,No,No,No,481,0,Moderate,Retirement,Basic
1237,31,6,81,Medium,95762,4,Graduate,Working Professional,116,No,No,No,Yes,No,588,0,Conservative,Tax Optimization,Premium
1238,38,13,169,High,92093,1,Professional,Self-Employed,0,Yes,No,Yes,Yes,Yes,1120,362,Aggressive,Retirement,Private
1239,28,2,63,Medium,91116,2,Professional,Self-Employed,0,No,No,No,Yes,No,476,0,Conservative,Estate Planning,Basic
1240,51,26,12,Low,90245,2,Professional,Self-Employed,109,No,No,No,Yes,Yes,422,0,Moderate,Estate Planning,Basic
1241,52,27,15,Low,91320,4,Undergraduate,Working Professional,101,No,No,No,No,No,294,0,Moderate,Wealth Growth,Basic
1242,64,38,39,Low,92120,1,Professional,Self-Employed,0,No,Yes,Yes,Yes,Yes,631,495,Conservative,Tax Optimization,Premium
1243,29,4,44,Low,91380,4,Graduate,Working Professional,0,No,No,No,Yes,No,502,0,Conservative,Education Funding,Premium
1244,34,10,110,High,92697,1,Undergraduate,Working Professional,0,No,No,No,Yes,No,801,0,Conservative,Education Funding,Premium
1245,33,8,130,High,94720,3,Graduate,Working Professional,99,Yes,No,No,No,Yes,1145,0,Conservative,Estate Planning,Private
1246,46,21,41,Low,94025,1,Professional,Self-Employed,128,No,No,No,Yes,No,486,0,Moderate,Wealth Growth,Basic
1247,48,22,59,Medium,91775,1,Professional,Self-Employed,241,No,No,No,Yes,No,1009,0,Moderate,Education Funding,Private
1248,52,28,39,Low,94606,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,328,0,Moderate,Education Funding,Basic
1249,44,19,35,Low,94305,4,Graduate,Working Professional,0,No,No,No,Yes,No,518,0,Moderate,Retirement,Premium
1250,51,27,80,Medium,90032,1,Graduate,Working Professional,0,No,No,No,Yes,Yes,548,0,Moderate,Wealth Growth,Premium
1251,47,20,81,Medium,94301,1,Graduate,Working Professional,0,No,No,No,Yes,No,572,0,Moderate,Wealth Growth,Premium
1252,39,13,31,Low,95120,2,Professional,Self-Employed,0,No,No,No,No,No,348,0,Conservative,Estate Planning,Basic
1253,42,17,93,Medium,92182,4,Professional,Self-Employed,0,No,No,No,No,No,938,0,Moderate,Retirement,Premium
1254,57,33,45,Low,92346,4,Undergraduate,Working Professional,204,No,No,No,Yes,No,492,0,Moderate,Wealth Growth,Basic
1255,36,12,40,Low,91101,2,Professional,Self-Employed,0,No,No,No,Yes,Yes,585,0,Conservative,Retirement,Premium
1256,27,1,80,Medium,95354,2,Professional,Self-Employed,185,No,No,No,Yes,Yes,774,0,Conservative,Estate Planning,Premium
1257,31,7,20,Low,92115,1,Professional,Self-Employed,0,No,No,No,Yes,No,276,0,Conservative,Wealth Growth,Basic
1258,63,37,41,Low,93014,1,Professional,Self-Employed,0,No,No,No,No,Yes,622,0,Conservative,Wealth Growth,Premium
1259,34,8,31,Low,91203,1,Undergraduate,Working Professional,104,No,No,No,Yes,Yes,502,0,Conservative,Wealth Growth,Premium
1260,52,27,35,Low,95616,4,Graduate,Working Professional,0,No,No,No,Yes,No,385,0,Moderate,Retirement,Basic
1261,57,31,40,Low,91107,3,Professional,Self-Employed,137,No,No,No,Yes,Yes,426,0,Moderate,Education Funding,Basic
1262,63,39,84,Medium,94901,1,Professional,Self-Employed,0,No,No,No,No,No,897,0,Conservative,Wealth Growth,Premium
1263,26,1,53,Medium,94720,2,Professional,Self-Employed,0,No,No,No,Yes,No,363,0,Conservative,Estate Planning,Basic
1264,35,5,85,Medium,92870,4,Professional,Self-Employed,0,No,No,No,Yes,No,760,0,Conservative,Education Funding,Premium
1265,58,33,138,High,94546,2,Undergraduate,Working Professional,0,No,No,No,Yes,No,810,0,Moderate,Wealth Growth,Premium
1266,32,2,71,Medium,95014,2,Professional,Self-Employed,108,No,No,No,No,No,856,0,Conservative,Retirement,Premium
