ID,Investment Products,Allocation (%)
4981,Real Estate Investment Trust (REIT),30.65
4981,Private Equity Fund,69.35
905,Private Equity Fund,40.95
905,Commodities Futures,59.05
1084,Private Equity Fund,100
1161,Private Equity Fund,100
1178,Private Equity Fund,52.14
1178,Growth Stock Fund,47.86
1625,Commodities Futures,71.01
1625,Private Equity Fund,28.99
2444,Commodities Futures,67.82
2444,Private Equity Fund,32.18
3071,Commodities Futures,77.8
3071,Private Equity Fund,22.2
3374,Private Equity Fund,100
3580,Private Equity Fund,100
4564,Commodities Futures,100
199,Private Equity Fund,100
547,Municipal Bonds,58.09
547,Municipal Bonds,41.91
965,Private Equity Fund,100
1011,Private Equity Fund,36.77
1011,Private Equity Fund,63.23
1876,Commodities Futures,100
2165,Commodities Futures,66.36
2165,Private Equity Fund,33.64
2191,Technology Sector ETF,46.59
2191,Commodities Futures,53.41
2269,Private Equity Fund,100
2315,Municipal Bonds,100
2808,Commodities Futures,100
2899,Private Equity Fund,100
3038,Commodities Futures,41.1
3038,Commodities Futures,58.9
3507,Private Equity Fund,38.2
3507,Private Equity Fund,61.8
4049,Private Equity Fund,100
4266,Private Equity Fund,100
4715,Commodities Futures,100
1723,Commodities Futures,100
3664,Commodities Futures,100
3810,Private Equity Fund,75.95
3810,Commodities Futures,24.05
4078,Growth Stock Fund,69.73
4078,Hedge Fund,30.27
4283,Commodities Futures,42
4283,Private Equity Fund,58
4306,Private Equity Fund,100
4346,Commodities Futures,100
4569,Technology Sector ETF,25.43
4569,Commodities Futures,74.57
4797,Commodities Futures,73.09
4797,Commodities Futures,26.91
1,Private Equity Fund,23.88
1,Private Equity Fund,76.12
348,Commodities Futures,64.23
348,Private Equity Fund,35.77
1093,Commodities Futures,7.56
1093,Commodities Futures,92.44
1182,Hedge Fund,18.7
1182,Commodities Futures,81.3
2158,Private Equity Fund,100
3293,Private Equity Fund,18.84
3293,Private Equity Fund,81.16
106,Commodities Futures,100
598,Private Equity Fund,100
3797,Commodities Futures,100
3888,Private Equity Fund,100
3131,Commodities Futures,61.17
3131,Commodities Futures,38.83
3825,Private Equity Fund,100
